Date,Open,High,Low,Close,Adj Close,Volume,Difference,30th/current,Percentile
2023-05-31,177.3300018310547,179.35000610351562,176.75999450683594,177.25,177.25,99625300,2.5900115966796875,0.0,0.43
2023-06-01,177.6999969482422,180.1199951171875,176.92999267578125,180.08999633789062,180.08999633789062,68901800,3.19000244140625,0.5999908447265625,0.81
2023-06-02,181.02999877929688,181.77999877929688,179.25999450683594,180.9499969482422,180.9499969482422,61945900,2.5200042724609375,-0.07000732421875,0.35
2023-06-05,182.6300048828125,184.9499969482422,178.0399932861328,179.5800018310547,179.5800018310547,121946500,6.910003662109375,4.3199920654296875,1.0
2023-06-06,179.97000122070312,180.1199951171875,177.42999267578125,179.2100067138672,179.2100067138672,64848400,2.69000244140625,0.0999908447265625,0.47
2023-06-07,178.44000244140625,181.2100067138672,177.32000732421875,177.82000732421875,177.82000732421875,61944600,3.8899993896484375,1.29998779296875,0.97
2023-06-08,177.89999389648438,180.83999633789065,177.4600067138672,180.57000732421875,180.57000732421875,50214900,3.379989624023466,0.7899780273437784,0.89
2023-06-09,181.5,182.22999572753903,180.6300048828125,180.9600067138672,180.9600067138672,48870700,1.599990844726534,-0.9900207519531534,0.04
2023-06-12,181.2700042724609,183.88999938964844,180.97000122070312,183.7899932861328,183.7899932861328,54274900,2.9199981689453125,0.329986572265625,0.74
2023-06-13,182.8000030517578,184.1499938964844,182.44000244140625,183.30999755859372,183.30999755859372,54929100,1.7099914550781534,-0.8800201416015341,0.12
2023-06-14,183.3699951171875,184.38999938964844,182.0200042724609,183.9499969482422,183.9499969482422,57462900,2.3699951171875284,-0.22001647949215908,0.27
2023-06-15,183.9600067138672,186.5200042724609,183.77999877929688,186.00999450683597,186.00999450683597,65433200,2.740005493164034,0.14999389648434658,0.58
2023-06-16,186.72999572753903,186.9900054931641,184.2700042724609,184.9199981689453,184.9199981689453,101235600,2.720001220703182,0.12998962402349434,0.54
2023-06-20,184.41000366210935,186.1000061035156,184.41000366210935,185.00999450683597,185.00999450683597,49799100,1.69000244140625,-0.9000091552734375,0.08
2023-06-21,184.8999938964844,185.41000366210935,182.58999633789065,183.9600067138672,183.9600067138672,49515700,2.820007324218693,0.22999572753900566,0.62
2023-06-22,183.7400054931641,187.0500030517578,183.6699981689453,187.0,187.0,51245300,3.3800048828125,0.7899932861328125,0.93
2023-06-23,185.5500030517578,187.55999755859372,185.00999450683597,186.67999267578125,186.67999267578125,53079300,2.5500030517577557,-0.04000854492193184,0.39
2023-06-26,186.8300018310547,188.0500030517578,185.22999572753903,185.2700042724609,185.2700042724609,48088700,2.8200073242187784,0.22999572753909092,0.7
2023-06-27,185.88999938964844,188.38999938964844,185.6699981689453,188.05999755859372,188.05999755859372,50730800,2.720001220703125,0.1299896240234375,0.5
2023-06-28,187.92999267578125,189.8999938964844,187.6000061035156,189.25,189.25,51216800,2.299987792968807,-0.29002380371088066,0.2
2023-06-29,189.0800018310547,190.07000732421875,188.94000244140625,189.58999633789065,189.58999633789065,46347300,1.1300048828125,-1.4600067138671875,0.0
2023-06-30,191.6300048828125,194.47999572753903,191.25999450683597,193.97000122070312,193.97000122070312,85069600,3.220001220703068,0.6299896240233807,0.85
2023-07-03,193.77999877929688,193.8800048828125,191.75999450683597,192.4600067138672,192.4600067138672,31458200,2.120010375976534,-0.4700012207031534,0.16
2023-07-05,191.57000732421875,192.97999572753903,190.6199951171875,191.3300018310547,191.3300018310547,46920300,2.360000610351534,-0.23001098632815342,0.24
2023-07-06,189.83999633789065,192.0200042724609,189.1999969482422,191.80999755859372,191.80999755859372,45094300,2.8200073242187216,0.22999572753903408,0.66
2023-07-07,191.41000366210935,192.6699981689453,190.2400054931641,190.67999267578125,190.67999267578125,46778000,2.4299926757812216,-0.16001892089846592,0.31
2023-07-10,189.25999450683597,189.9900054931641,187.0399932861328,188.6100006103516,188.6100006103516,59097500,2.9500122070312784,0.3600006103515909,0.77
